                   1                   1                   3                   2                   1                   1                   3                   1                   4                   3                   3                   2                  -1                   1                   2                  -1                   1                  26
                   2                   2                   3                   1                   1                   1                   7                   1                   0                   1                   0                   0                  -1                   5                   2                  -1                   1                  19
                   3                   3                   1                   2                   1                   1                   1                   0                   1                   3                   2                   2                  -1                   1                   2                  -1                   5                  21
                   4                   1                   2                   1                   1                   2                   1                   1                   7                   1                   4                   1                  -1                   1                   2                  -1                   2                  26
                   5                   3                   4                   2                   1                   2                   3                   1                   3                   4                   2                   2                  -1                   1                   2                  -1                   2                  26
                   6                   2                   4                   0                   1                   2                   1                   1                   8                   2                   2                   2                  -1                   1                   2                  -1                   7                  20
                   7                   1                   3                   0                   1                   1                   1                   1                   1                   1                   2                   1                  -1                   1                   2                  -1                   1                  26
                   8                   3                   2                   2                   3                   2                   0                   0                   0                   1                   3                   2                  -1                   1                   2                  -1                   2                  16
                   9                   1                   2                   0                   2                   1                   1                   0                   0                   1                   3                   2                  -1                   1                   2                  -1                   1                  20
                  10                   3                   3                   2                   1                   1                   7                   1                   1                   2                   4                   0                  -1                   3                   2                  -1                   5                  20
                  11                   2                   2                   2                   2                   2                   7                   0                   1                   1                   5                   0                  -1                   5                   2                  -1                   7                   1
                  12                   1                   1                   2                   1                   2                   7                   8                   1                   1                   4                   0                  -1                   2                   2                  -1                   5                   1
                  13                   2                   2                   2                   2                   1                   1                   1                   7                   1                   3                   2                  -1                   1                   2                  -1                   2                   8
                  14                   3                   2                   2                   2                   2                   1                   8                   1                   1                   5                   9                  99                   1                   2                  -1                   7                  10
                  15                   2                   2                   1                   1                   1                   7                   0                   0                   0                   7                   0                  -1                   3                   2                  30                   3                  18
                  16                   3                   1                   9                   1                   2                   7                   7                   1                   1                   2                   0                  -1                   5                   2                  -1                   1                  19
                  17                   3                   2                   0                   1                   1                   3                   0                   0                   1                   6                   2                  -1                   1                   2                  40                   3                  19
                  18                   2                   2                   2                   3                   2                   7                   0                   7                   0                   5                   0                  -1                   2                   2                  -1                   7                   5
                  19                   2                   3                   1                   2                   1                   7                   2                   1                   4                   0                   0                  -1                   5                   2                  -1                   1                  17
                  20                   1                   3                   1                   2                   1                   7                   3                   3                   1                   2                   0                  -1                   3                   2                  -1                   1                  15
                  21                   2                   3                   1                   1                   2                   7                   1                   1                   1                   0                   0                  -1                   5                   2                  -1                   1                  22
                  22                   3                   3                   2                   2                   2                   7                   1                   1                   0                   3                   0                  -1                   5                   2                  40                   3                  18
                  23                   2                   3                   2                   3                   2                   7                   0                   7                   0                   2                   0                  -1                   5                   2                  -1                   2                  14
                  24                   3                   3                   2                   1                   2                   1                   1                   1                   1                   2                   2                  -1                   1                   2                  -1                   4                  20
                  25                   3                   3                   0                   1                   2                   7                   7                   1                   2                   2                   0                  -1                   3                   2                  -1                   1                  13
